target,id,date,flag,user,text,n_chars,n_words,clean_text
0,120,Sat May 16 16:25:41 UTC 2009,aig,schroncd,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,139,24,u planning resume military tribunal guantanamo bay time trial aig exec chrysler debt holder
0,121,Sat May 16 22:42:07 UTC 2009,itchy,MarissaLeeD,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),60,12,omg bored tattoooos itchy help aha
0,122,Sat May 16 22:42:25 UTC 2009,itchy,robloposky,I'm itchy and miserable!,24,4,itchy miserable
0,123,Sat May 16 22:42:44 UTC 2009,itchy,EdwinLValencia,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",56,10,no not itchy maybe later lol
4,124,Sat May 16 23:48:15 UTC 2009,stanford,imusicmash,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,104,16,rt love nerdy stanford human biology video make miss school
4,125,Sat May 16 23:58:34 UTC 2009,lyx,drewloewe,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",139,25,bit crazy steep learning curve lyx really good long doc anything shorter would insane
4,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",102,20,listening danny gokey aww amazing much
4,132,Sun May 17 17:27:45 UTC 2009,sleep,babblyabbie,is going to sleep then on a bike ride:],39,9,going sleep bike ride
0,133,Sun May 17 17:27:49 UTC 2009,sleep,kisjoaquin,cant sleep... my tooth is aching.,33,6,cant sleep tooth aching
0,134,Sun May 17 17:28:02 UTC 2009,sleep,Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",80,16,blah blah blah old old no plan today going back sleep guess
0,135,Sun May 17 17:29:50 UTC 2009,san francisco,Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",86,16,glad didnt bay breaker today freaking degree san francisco wtf
2,136,Sun May 17 17:30:19 UTC 2009,san francisco,sulu34,is in San Francisco at Bay to Breakers.,39,8,san francisco bay breaker
2,137,Sun May 17 17:30:23 UTC 2009,san francisco,schuyler,just landed at San Francisco,28,5,landed san francisco
2,138,Sun May 17 17:30:56 UTC 2009,san francisco,MattBragoni,San Francisco today.  Any suggestions?,38,5,san francisco today suggestion
0,139,Sun May 17 17:32:00 UTC 2009,aig,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,85,11,obama administration must stop bonus aig ponzi schemer
0,140,Sun May 17 17:32:30 UTC 2009,aig,aMild,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,124,24,started think citi really deep gonna survive turmoil gonna next aig
0,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,ShaunWoo hate'n on AiG,22,4,shaunwoo hate'n aig
4,142,Sun May 17 17:35:17 UTC 2009,star trek,mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,70,13,not regret going see star trek awesome
2,143,Sun May 17 17:35:28 UTC 2009,star trek,GeeRen,On my way to see Star Trek @ The Esquire.,41,10,way see star trek esquire
2,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,Going to see star trek soon with my dad.,40,9,going see star trek soon dad
0,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,122,19,annoying new trend internet people picking apart michael lewis malcolm gladwell nobody want read
2,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,70,8,bill simmons conversation malcolm gladwell
4,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,77,6,highly recommend malcolm gladwell
4,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,livreal,Blink by malcolm gladwell amazing book and The tipping point!,61,10,blink malcolm gladwell amazing book tipping point
4,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,Malcolm Gladwell might be my new man crush,42,8,malcolm gladwell might new man crush
0,150,Mon May 18 01:18:03 UTC 2009,espn,wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.,62,12,omg commercial alone espn going drive nut
4,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,137,26,playing twitter api sound fun may need take class find new friend like generate result api code
2,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""",cURLTesting,playing with cURL and the Twitter API,37,7,playing curl twitter api
4,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,Hello Twitter API ;),20,4,hello twitter api
2,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""",danserfaty,playing with Java and the Twitter API,37,7,playing java twitter api
0,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""",raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.,72,12,twitter api slow client's good
0,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,yahoo answers can be a butt sometimes,37,7,yahoo answer butt sometimes
4,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,rachelbegins,is scrapbooking with Nic =D,27,5,scrapbooking nic
4,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,108,15,rt five thing wolfram alpha better vastly different google
4,173,Wed May 20 02:37:09 UTC 2009,nike,sportsgirl505,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,76,13,changed default pic nike basketball cause bball awesome
2,174,Wed May 20 02:38:27 UTC 2009,nike,MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",118,15,nike owns nba playoff ad lebron kobe carmelo adidas billups howard marketing branding
2,175,Wed May 20 02:38:45 UTC 2009,nike,cadburysgirl,"'Next time, I'll call myself Nike'",34,6,'next time call nike'
2,176,Wed May 20 02:38:50 UTC 2009,nike,AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,69,11,new blog post nike sb dunk low premium 'white gum'
0,177,Wed May 20 02:39:05 UTC 2009,nike,coreysmbpro,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,68,11,rt told nike layoff started today
4,178,Wed May 20 02:39:28 UTC 2009,nike,PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :),64,16,back worked nike one fav word
4,179,Wed May 20 02:40:23 UTC 2009,nike,ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",87,12,way totally inspired freaky nike commercial
2,192,Sat May 23 20:43:22 UTC 2009,weka,nikete,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",99,19,giving weka app engine interface using bird strike data test logo given
2,194,Sun May 24 16:18:48 UTC 2009,50d,bigdigit,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",139,22,brand new canon eos mp dslr camera canon mm lens web technology thread brand new canon eos
4,195,Sun May 24 16:19:04 UTC 2009,50d,justinbettman,Class... The 50d is supposed to come today :),45,9,class supposed come today
0,196,Sun May 24 20:48:14 UTC 2009,lambda calculus,read0,needs someone to explain lambda calculus to him! :(,51,9,need someone explain lambda calculus
0,197,Sun May 24 20:48:58 UTC 2009,lambda calculus,BAK3R,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,124,21,took graduate field exam computer science today nothing make feel like idiot lambda calculus
4,198,Sun May 24 20:49:52 UTC 2009,east palo alto,SLICKSPIT,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,140,24,shout out east palo alto buildin karizmakaze cal gta also thanks profit doom universal hempz cracka
0,199,Sun May 24 20:50:32 UTC 2009,east palo alto,ckwright,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",137,24,yeahhhhhhhhh really lived east palo alto could avoided guess summer
4,204,Mon May 25 17:15:01 UTC 2009,stanford,souleaterjh,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,137,20,great stanford course thanks making available public really helpful informative starting
2,205,Mon May 25 17:15:24 UTC 2009,stanford,susangao,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",86,11,nvidia name stanford's bill dally chief scientist vp research
2,206,Mon May 25 17:15:43 UTC 2009,stanford,jimmy_chan2009,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,70,10,new blog post harvard versus stanford win
4,207,Mon May 25 17:17:04 UTC 2009,lakers,a_fio,@ work til 6pm... lets go lakers!!!,35,7,work til pm let go lakers
0,208,Mon May 25 17:18:29 UTC 2009,north korea,luvslikepi,Damn you North Korea. http://bit.ly/KtMeQ,41,5,damn north korea
0,209,Mon May 25 17:19:05 UTC 2009,north korea,utsagrad123,Can we just go ahead and blow North Korea off the map already?,62,13,go ahead blow north korea map already
0,210,Mon May 25 17:19:14 UTC 2009,north korea,stabotage,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",102,13,north korea please cease douchebaggery china even like anymore
0,211,Mon May 25 17:21:08 UTC 2009,pelosi,zed01,Why the hell is Pelosi in freakin China? and on whose dime?,59,12,hell pelosi freakin china whose dime
0,212,Mon May 25 17:23:55 UTC 2009,bailout,funky_old_man,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",119,20,burning cash chrysler gm stop financial tsunami bailout mean taking handout
0,213,Mon May 25 17:25:34 UTC 2009,insects,malcozer,insects have infected my spinach plant :(,41,7,insect infected spinach plant
0,214,Mon May 25 17:26:50 UTC 2009,insects,AntoineTheReaL,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,140,25,wish could catch every mosquito world burn em slowly bitin shit outta day mosquito asshole insect
0,215,Mon May 25 17:27:05 UTC 2009,insects,jonwolpert,"just got back from church, and I totally hate insects.",54,10,got back church totally hate insect
0,216,Mon May 25 17:28:50 UTC 2009,mcdonalds,jachshore,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,131,27,got mcdonalds goddam egg make sick yeah laker date go lakers not much update well true suck
4,217,Mon May 25 17:29:39 UTC 2009,mcdonalds,MamiYessi,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],61,13,omgg ohhdee want mcdonalds damn wonder open lol
0,218,Mon May 25 17:31:21 UTC 2009,exam,jvici0us,History exam studying ugh,25,4,history exam studying ugh
0,219,Mon May 25 17:31:43 UTC 2009,exam,enriquenieto,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",111,20,hate revision boring totally unprepared exam tomorrow thing not looking good
0,220,Mon May 25 17:31:45 UTC 2009,exam,Drummermatt_182,"Higher physics exam tommorow, not lookin forward to it much :(",62,11,higher physic exam tommorow not lookin forward much
0,222,Mon May 25 17:32:11 UTC 2009,exam,filmcriticbeta,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",70,14,bank holiday yet work exam season suck
0,223,Mon May 25 17:34:40 UTC 2009,cheney,lvlocal,Cheney and Bush are the real culprits - http://fwix.com/article/939496,70,9,cheney bush real culprit
0,224,Mon May 25 17:34:51 UTC 2009,cheney,QCWofNC,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,96,16,life bitch dick cheney bipart tlot tcot hhrs gop dnc
0,225,Mon May 25 17:35:23 UTC 2009,cheney,jepaco,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",102,13,dick cheney's dishonest speech torture terror obama fred kaplan slate
0,226,Mon May 25 17:37:56 UTC 2009,republican,ImportantQuotes,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",133,24,republican party bunch anti abortion zealot draw fly dump neal boortz radio
0,227,Mon May 25 17:46:06 UTC 2009,twitter api,fwhamm,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,77,12,twitter's connection api broken tweet make twitter
0,228,Mon May 25 17:46:24 UTC 2009,twitter api,jos897,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",73,12,srsly hate stupid twitter api timeout thing soooo annoying
4,233,Wed May 27 00:34:21 UTC 2009,jquery book,jystewart,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",104,14,really liked 's learning jquery book worth look
2,234,Wed May 27 00:34:47 UTC 2009,jquery book,cfbloggers,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,58,7,jquery ui book review
4,235,Wed May 27 00:38:56 UTC 2009,goodby silverstein,CaerusMe,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",126,19,interesting ad adobe goodby silverstein partner youtube adobe c le sen propre
4,236,Wed May 27 00:39:13 UTC 2009,goodby silverstein,HallandPartners,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,76,7,goodby silverstein agency new site great
4,237,Wed May 27 00:39:21 UTC 2009,goodby silverstein,suedecrush,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",105,12,rt goodby silverstein's new site enjoy nice find
4,238,Wed May 27 00:41:13 UTC 2009,goodby silverstein,_imageworks,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,128,20,ever amazing psyop goodby silverstein partner hp go play effect
4,239,Wed May 27 00:42:22 UTC 2009,wieden,dustinrowley,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,133,17,top ten watched viral video chart love nike mostvaluablepuppets campaign wieden kennedy
4,251,Wed May 27 23:49:47 UTC 2009,g2,xzela,zomg!!! I have a G2!!!!!!!,26,5,zomg
4,252,Wed May 27 23:49:59 UTC 2009,g2,mobiledreams,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,85,17,ok lot buzz io lucky free
4,253,Wed May 27 23:50:46 UTC 2009,g2,crashfaster,just got a free G2 android at google i/o!!!,43,9,got free android google
4,254,Wed May 27 23:51:30 UTC 2009,g2,dragonal,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,75,14,guess retiring start using developer woot googleio
2,255,Wed May 27 23:56:56 UTC 2009,googleio,mastooo,At GWT fireside chat @googleio,30,5,gwt fireside chat
4,256,Wed May 27 23:59:18 UTC 2009,googleio,maex242,I am happy for Philip being at GoogleIO today,45,9,happy philip googleio today
4,317,Sat May 30 17:46:39 UTC 2009,lakers,specs20,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,67,11,lakers played great cannot wait thursday night lakers v
2,328,Sun May 31 06:51:14 UTC 2009,viral marketing,BrandKarma,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",95,14,hi anyone great source advice viral marketing
4,329,Sun May 31 06:51:30 UTC 2009,viral marketing,mattcad,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,116,18,judd apatow creates fake sitcom nbc com market new movie viral marketing best
2,330,Sun May 31 06:51:34 UTC 2009,viral marketing,grahamgrimshaw,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",111,19,here's case study use viral marketing add people list
0,331,Sun May 31 06:51:44 UTC 2009,viral marketing,nicoleisms,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,137,24,viral marketing fail acia pill brand oughta get shut hacking people's messenger's get msg day arrrgh
4,388,Tue Jun 02 02:54:09 UTC 2009,"""night at the museum""",Cristinellaa,watching Night at The Museum . Lmao,35,7,watching night museum lmao
4,389,Tue Jun 02 02:54:12 UTC 2009,"""night at the museum""",MzJill,i loved night at the museum!!!,30,6,loved night museum
2,390,Tue Jun 02 02:54:22 UTC 2009,"""night at the museum""",Lynn_Sky,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,105,23,going see new night museum movie family oh boy three year old movie fuin
4,391,Tue Jun 02 02:54:40 UTC 2009,"""night at the museum""",bobster56,just got back from the movies.  went to see the new night at the museum with rachel.  it was good,97,20,got back movie went see new night museum rachel good
2,392,Tue Jun 02 02:54:44 UTC 2009,"""night at the museum""",jordanforeman,Just saw the new Night at the Museum movie...it was...okay...lol 7\10,69,11,saw new night museum movie okay lol
2,393,Tue Jun 02 02:54:51 UTC 2009,"""night at the museum""",britree,Going to see night at the museum 2 with tall boy,48,11,going see night museum tall boy
4,394,Tue Jun 02 02:55:16 UTC 2009,"""night at the museum""",jellz,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,108,21,take date see night museum whenever want look soooooo good
4,395,Tue Jun 02 02:55:25 UTC 2009,"""night at the museum""",droherty,no watching The Night At The Museum. Getting Really Good,56,10,no watching night museum getting really good
4,396,Tue Jun 02 02:55:39 UTC 2009,"""night at the museum""",sarahbrooke,"Night at the Museum, Wolverine and junk food - perfect monday!",62,11,night museum wolverine junk food perfect monday
4,397,Tue Jun 02 02:55:49 UTC 2009,"""night at the museum""",jeremyempire,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,133,25,saw night museum last night pretty crazy movie cast awesome well worth robin williams forever
2,398,Tue Jun 02 02:56:01 UTC 2009,"""night at the museum""",MirandaClues,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,111,20,saw night museum battle swithsonian today okay typical kid ben stiller movie
2,399,Tue Jun 02 02:56:25 UTC 2009,"""night at the museum""",RGuad08,Taking Katie to see Night at the Museum.  (she picked it),57,11,taking katie see night museum picked
0,400,Tue Jun 02 02:56:38 UTC 2009,"""night at the museum""",xshallsx,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,88,19,night museum tonite instead oh well yr old better enjoy lol
2,401,Tue Jun 02 03:00:25 UTC 2009,gm,EconomyUpdates,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,134,21,gm say expects announcment sale hummer soon reuters wdsugm say expects announcment sale hummer
0,402,Tue Jun 02 03:01:10 UTC 2009,gm,mshbrown,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,140,27,unfortunate stimulus plan put place twice help gm back american people led inevitable
0,403,Tue Jun 02 03:02:17 UTC 2009,gm,misschris62,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,118,24,tell giving gm use program support unemployed
0,404,Tue Jun 02 03:05:13 UTC 2009,gm,artbynemo,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,68,15,oh yes gm dy worth boo hahaha
0,405,Tue Jun 02 03:14:36 UTC 2009,time warner,windhamgirl,Time Warner cable is down again 3rd time since Memorial Day bummer!,67,12,time warner cable rd time since memorial day bummer
0,406,Tue Jun 02 03:15:11 UTC 2009,time warner,mmmPi,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.",122,21,would rather pay reasonable yearly tax free fast internet get gouged time warner slow connection
0,407,Tue Jun 02 03:15:23 UTC 2009,time warner,NDEddieMac,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,94,19,nooooooo dvr died half way ea presser hate time warner
0,408,Tue Jun 02 03:15:54 UTC 2009,time warner,yourboysdot,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,129,24,ck time warner cable cking suck ball hd tv damn hd channel hardly ever come bullshit
0,409,Tue Jun 02 03:16:16 UTC 2009,time warner,Shazzainla,time warner has the worse customer service ever. I will never use them again,76,14,time warner worse customer service ever never use
0,410,Tue Jun 02 03:16:27 UTC 2009,time warner,dstalk,Time warner is the devil. Worst possible time for the Internet to go out.,73,14,time warner devil worst possible time internet go
0,411,Tue Jun 02 03:16:37 UTC 2009,time warner,ernestalfonso,Fuck no internet damn time warner!,34,6,fuck no internet damn time warner
0,412,Tue Jun 02 03:16:49 UTC 2009,time warner,kaaatiee,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,122,26,time warner really pick worst time not work want get mtv com watch hill wtfffff
0,413,Tue Jun 02 03:17:04 UTC 2009,time warner,JasonNegron,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,134,25,hate time warner soooo wish vios cant watch fricken mets game buffering feel like im watching free internet porn
